Id,DialogGroupId,PageNumber,SpeakerId,Text,OptionGroupId,NextEventId
1,100,1,1,今日、練習の帰りにファンの方から差し入れをもらったんだ。,0,0
2,100,2,2,わあ、嬉しいわね！ 中身は何だったの？,0,0
3,100,3,1,疲労回復に効く高級な入浴剤と、僕たち夫婦を応援してくれる手紙だよ。,10,0
4,101,1,2,今日は早速この入浴剤を使って、ゆっくり疲れを癒やしてね。,0,0
5,101,2,1,ありがとう。すごくいい香りで、体の芯から温まって筋肉の張りも取れたよ。,0,0
6,102,1,2,ずっと私たち夫婦のことを応援してくれているのね。手紙を読んでしっかり力にしましょう。,0,0
7,102,2,1,本当だね。素敵なファンに恵まれてすごく励みになるし、これからも頑張るよ。,0,0
8,103,1,2,せっかくだから、SNSでファンの方へ感謝のメッセージを投稿しましょう。きっと喜んでくれるわ。,0,0
9,103,2,1,そうだね。いつも応援ありがとうございますって、しっかり気持ちを伝えておくよ。,0,0
1,200,1,1,今日、監督から最近の頑張りを評価されて寸志をもらったんだ。,0,0
2,200,2,2,本当に？ あなたの日頃の努力がチームに認められたのね。お疲れ様！,0,0
3,200,3,2,金額はそこまで大きくないみたいだけど、このお金はどうやって使おうか？,20,0
4,201,1,2,今は堅実に貯金しておきましょう。いざという時の備えになるからね。,0,0
5,201,2,1,そうだね。少しずつでも資産が増えていくのは安心感があるよ。,0,0
6,202,1,2,せっかくだし、パーッと美味しいお肉でも食べに行きましょう！,0,0
7,202,2,1,賛成！ しっかり栄養をつけて、また明日から頑張るよ。,0,0
1,300,1,1,今日の練習、すごく調子が良かったよ。体の動きが完全にイメージと噛み合っている感覚だ。,0,0
2,300,2,2,それは素晴らしいわね。日頃のトレーニングの成果がしっかり形になってきている証拠よ。,0,0
3,300,3,2,この良い状態をどうやって次に繋げていくか、方針を決めましょう。,30,0
4,301,1,2,今の最高の感覚を体に染み込ませるために、今日はもう少しだけ追い込んでみましょう。,0,0
5,301,2,1,わかった。少し体力は削られるけど、この壁を越えればさらに上のレベルに行けそうだよ。,0,0
6,302,1,2,この良い状態を確実に定着させるために、あえて基礎メニューを反復して精度を上げましょう。,0,0
7,302,2,1,確かにそれが一番確実だね。焦らずに、今のフォームをしっかり自分のものにするよ。,0,0
8,303,1,2,良いイメージを頭に焼き付けたまま、今日は早めに切り上げてしっかり体を休めましょう。,0,0
9,303,2,1,そうだね。無理してケガでもしたら元も子もないし、明日に向けてリフレッシュするよ。,0,0
1,400,1,1,今日の練習中、特定の動きをした時に体に少し違和感があったんだ。大事には至らなかったけど、ヒヤリとしたよ。,0,0
2,400,2,2,それは心配ね。今はどこか痛むところや、熱を持っている箇所はあるの？,0,0
3,400,3,1,痛みはないけど、念のためトレーナーに診てもらってアイシングはしてきたよ。心配かけてごめん。,40,0
4,400,4,2,謝る必要はないわ。大きなケガに繋がる前で良かった。今日は絶対に無理をしないで、しっかり休んでね。,0,0
5,400,5,2,あなたの体が一番大切なんだから、明日以降も少しでもおかしいと思ったらすぐに私に教えてちょうだい。,0,0
1,500,1,2,スーパーのレシートを見てため息が出ちゃう。最近、野菜もお肉も本当に高くなったわね。,0,0
2,500,2,1,ニュースでも言っていたね。アスリートとしては食事が資本だから、エンゲル係数が上がるのは仕方ないけど……家計は大丈夫？,0,0
3,500,3,2,ええ、でも少し工夫が必要ね。あなたには今まで通りしっかり栄養を摂ってもらいたいから、どう乗り切るか方針を決めるわ。,50,0
4,501,1,2,家計から少し食費の予算を増やすわ。体づくりが一番大切だから、食事の質は絶対に落とさないようにしましょう。,0,0
5,501,2,1,ありがとう。君がそこまで考えて作ってくれる食事だから、しっかり食べて結果で返すよ。,0,0
6,502,1,2,旬の安い食材や鶏胸肉を中心にメニューを工夫するわ。少し質素になるかもしれないけど、栄養バランスは守るからね。,0,0
7,502,2,1,わかった。食べる楽しみは少し減るかもしれないけど、君の料理なら何でも美味しいから大丈夫だよ。,0,0
8,503,1,2,高騰している食材を無理に買わず、足りない栄養素はプロテインやサプリメントで効率よく補いましょう。,0,0
9,503,2,1,了解したよ。サプリの分量は僕の方でもしっかり管理しておくね。,0,0
1,600,1,1,今日の練習、どうもしっくりこないんだ。体が重いわけじゃないのに、タイミングが微妙にズレているというか。,0,0
2,600,2,2,スランプの入り口かもしれないわね。焦ってむやみに動いて、悪い癖がつくのが一番怖い状況よ。,0,0
3,600,3,2,この状態をどうやって打破するか、私から提案させてもらうわ。,60,0
4,601,1,2,苦しい時こそ基本に立ち返って、体が正しい動きを思い出すまで泥臭く反復練習を続けましょう。,0,0
5,601,2,1,わかった。体力は削られるけど、このモヤモヤした感覚のまま終わるよりはずっといいよ。,0,0
6,602,1,2,これ以上やってもフォームが崩れるだけよ。今日は思い切って練習を切り上げて、頭を完全にリセットしましょう。,0,0
7,602,2,1,悔しいけど、君の言う通りだね。一度離れてみて、明日に備えてしっかり休むよ。,0,0
8,603,1,2,むやみに動くのはやめて、一緒に過去の良い時の映像を見直しながら客観的に原因を探りましょう。,0,0
9,603,2,1,なるほど、客観的な視点が必要だね。少し頭は疲れるかもしれないけど、付き合ってくれると助かるよ。,0,0
